   Master	   Slave	 Bperp	 Delay

20220614	20220625	   -40	    11
20220614	20220706	  -338	    22
20220614	20220717	   -61	    33
20220614	20220728	    17	    44
20220614	20220808	    15	    55
20220614	20220819	  -256	    66
20220614	20220830	   125	    77
20220614	20220910	   -50	    88
20220614	20221104	  -119	   143
20220614	20221218	  -116	   187
20220614	20230131	  -168	   231
20220614	20230316	   170	   275
20220625	20220706	  -298	    11
20220625	20220717	   -21	    22
20220625	20220728	    57	    33
20220625	20220808	    54	    44
20220625	20220819	  -216	    55
20220625	20220830	   164	    66
20220625	20220910	   -10	    77
20220625	20221104	   -79	   132
20220625	20221218	   -76	   176
20220625	20230131	  -128	   220
20220625	20230316	   210	   264
20220706	20220717	   277	    11
20220706	20220728	   355	    22
20220706	20220808	   352	    33
20220706	20220819	    82	    44
20220706	20220910	   288	    66
20220706	20221104	   219	   121
20220706	20221218	   222	   165
20220706	20230131	   170	   209
20220717	20220728	    79	    11
20220717	20220808	    76	    22
20220717	20220819	  -195	    33
20220717	20220830	   186	    44
20220717	20220910	    11	    55
20220717	20221104	   -58	   110
20220717	20221218	   -55	   154
20220717	20230131	  -107	   198
20220717	20230316	   232	   242
20220728	20220808	    -3	    11
20220728	20220819	  -274	    22
20220728	20220830	   107	    33
20220728	20220910	   -67	    44
20220728	20221104	  -137	    99
20220728	20221218	  -133	   143
20220728	20230131	  -185	   187
20220728	20230316	   153	   231
20220808	20220819	  -271	    11
20220808	20220830	   110	    22
20220808	20220910	   -64	    33
20220808	20221104	  -134	    88
20220808	20221218	  -130	   132
20220808	20230131	  -183	   176
20220808	20230316	   156	   220
20220819	20220830	   381	    11
20220819	20220910	   206	    22
20220819	20221104	   137	    77
20220819	20221218	   140	   121
20220819	20230131	    88	   165
20220830	20220910	  -174	    11
20220830	20221104	  -244	    66
20220830	20221218	  -240	   110
20220830	20230131	  -293	   154
20220830	20230316	    46	   198
20220910	20221104	   -69	    55
20220910	20221218	   -66	    99
20220910	20230131	  -118	   143
20220910	20230316	   220	   187
20221104	20221218	     3	    44
20221104	20230131	   -49	    88
20221104	20230316	   289	   132
20221218	20230131	   -52	    44
20221218	20230316	   286	    88
20230131	20230316	   338	    44
